age,income,education,work_experience,city_size,credit_score,dependents,homeowner,loan_approved,noise_feature_1,noise_feature_2,noise_feature_3
56,53415.889644584924,High School,36,Medium,787.7646211400636,2,0,1,-0.39599066489699014,-0.5566954688742749,0.04906673798835688
69,45803.78169382479,High School,47,Large,807.4584358233386,1,0,1,-1.0555691379095582,0.3229683850718643,1.0766590355676506
46,63822.99902457785,Bachelor,30,Medium,850.0,0,1,1,0.5461346805872914,-1.0841285676437977,0.34681994342118055
32,62630.02374380703,High School,11,Large,789.864217722284,0,1,1,0.22224238695594264,2.1009285972517695,-1.0089023878062129
60,62093.54415759162,High School,36,Large,850.0,3,0,1,-0.5745214208193453,0.0693368084724879,0.7293167305871948
25,36098.60073043249,Master,5,Small,433.1198771637199,1,0,1,0.9108521741223902,-0.6840537811011811,-0.0632255392090597
78,52755.56843284287,Bachelor,57,Medium,850.0,3,0,1,-0.8119349847146753,0.8850943198783612,-1.4858304688313537
38,50864.09121299011,Bachelor,15,Medium,677.5531885494313,1,0,1,-0.12856671947138903,2.0501993920500143,-1.6536627214112696
56,65395.588999730964,High School,32,Small,850.0,1,1,1,-0.07091774156650348,-0.40825935073331365,0.3832692545283315
75,44835.406807604784,High School,52,Medium,785.125718915913,0,0,1,-0.9477127022695058,-0.7040447635104772,2.141345037874975
36,54548.267993498506,Master,12,Medium,682.4499003094234,4,1,1,-1.7097049797502668,2.2951606720535165,-1.0762536891128966
40,58888.2702751489,High School,17,Small,804.7541626088564,1,0,1,0.21895001238758555,-0.12267804375961402,-0.9569713605761812
28,28557.24819832052,Bachelor,3,Medium,524.5776347018522,1,1,0,1.3687154884890238,-0.2366024037830309,0.39779635684227294
28,48559.70385308192,High School,7,Medium,616.799607332086,2,0,1,0.9609018556479767,-2.1443801504056403,-1.3139276461505678
41,53154.79114964634,Bachelor,20,Small,744.9583318079884,0,0,1,1.0277995822041093,-0.03366374414245942,2.354048749518882
70,51989.377495857974,High School,49,Medium,850.0,0,1,1,-0.7989496958369011,-1.3559458378791254,-0.8656709397158172
53,68584.09754066501,Master,31,Small,850.0,3,0,1,0.21406957149030037,-0.5600931171481757,-0.4989423319529346
57,51477.36310790348,Master,34,Large,825.5976050981448,0,0,1,-1.4241597145707776,-2.0143016338241204,-0.8045414841239765
41,43463.271648364156,Master,23,Small,634.8730938877413,2,0,1,0.16891501285878685,1.2351484953707288,0.9347608479825699
20,32420.978354564566,High School,0,Large,420.4230244067326,1,0,0,1.388784507474798,-1.4666107525423466,2.162249549348843
39,38850.08598213505,Master,21,Medium,545.7434329350241,3,0,1,1.4198371233940745,-1.9407506426156202,-0.7032442842006443
70,51149.59819428464,Bachelor,45,Small,850.0,1,0,1,2.03044866764353,-0.9082171955176619,0.866577430970269
19,29820.87744194366,High School,0,Medium,416.3864959193687,2,0,0,0.9891780243461133,1.2473364664026334,-1.305906880685914
41,57826.24012446142,Bachelor,17,Medium,819.1206276293044,0,0,1,0.47574905587725336,-0.4449930995342121,0.9592739194404745
61,42044.28293559831,High School,37,Medium,701.0376058283158,2,0,1,0.8747231824021344,-0.3112588149555722,1.7583607121968916
47,44237.72220878377,High School,24,Medium,718.883942056768,1,0,1,0.6805741596518721,0.4784488604292955,1.452356401198965
55,28114.51205928446,Bachelor,32,Medium,612.8118600002414,0,0,1,-0.8072542474115357,-0.15165816161570367,0.13282423434121765
19,31100.89608990222,High School,0,Small,345.3110549852092,0,0,0,-1.515329980566093,1.2379588212081676,-1.0328134430092928
77,64147.317876131376,Bachelor,59,Small,850.0,3,1,1,0.8827587194197523,-0.23963016763060732,0.0007712337518064761
38,58686.0097438203,High School,16,Large,835.6112765362449,1,0,1,2.093348260558523,-0.22324824489837167,-0.31088930717529767
50,27262.234946380056,Master,29,Medium,490.1445644711563,0,0,0,0.9239714278716225,2.264193283830899,-0.4466914392269381
29,43026.5225560743,PhD,6,Medium,601.7033519199099,3,0,1,-1.8887237159105552,0.0551653992039538,0.20654985222193234
75,41752.55304566476,Master,56,Large,792.9543305567692,1,0,1,-0.5193018440390127,0.2305706417664796,-0.0665464407870858
39,54207.100685630496,High School,18,Medium,753.6149729274804,2,0,1,-0.1966927698722249,-0.21042572755923167,0.7078438582329405
78,23070.307751364115,High School,55,Large,622.6558926482517,0,0,0,-1.856043326869454,-2.428234481287096,0.7143447147579332
