feature,mean_importance
V18,-0.013428522710208468
V7,-0.007156801759707521
Amount,-0.006925310238823657
V11,-0.0058145527731969125
V5,-0.0044044937955583395
V6,-0.0014848622657139155
V8,-0.0012061280505801352
V22,-0.0010583910715564083
V4,-0.0009049310926781739
V21,-0.00043849404125637645
V3,-0.00029791562039132024
V12,-0.0002533665251675865
V20,-6.307101401072934e-05
V26,0.00016606631619091593
V28,0.0003895104527405158
V17,0.00041524569115518605
V1,0.0006324437576404884
V16,0.0006535185371438157
V25,0.0009934251017036156
V2,0.0023351365009645964
Class,0.002565380777557058
V23,0.002714369586743648
V24,0.00296272809260969
V9,0.0032823066899647204
V14,0.004096661798301815
V10,0.004556516238140973
V27,0.004871980617523919
V15,0.005313134541363373
V13,0.006327993606898841
V19,0.009982005542115636
