feature,mean_importance
V6,-0.015513063781129221
V5,-0.013702395844055259
V1,-0.012326360766910871
V11,-0.01178154364964834
V9,-0.010618308997090774
Amount,-0.009738996149539169
V3,-0.007982212148532074
V18,-0.006144371947655558
V17,-0.005429923459735387
V19,-0.004854416960797625
V28,-0.0042384851842765196
V2,-0.0034185407675197733
V16,-0.003318893425414915
V4,-0.0030004021758959
V13,-0.000947726803347293
V21,-0.0004394247189430489
V14,-0.0004006376208523177
V22,-2.9891045319252463e-05
V24,1.8332950520427714e-05
V10,0.0015361718778313272
Class,0.0024449812227447685
V7,0.003060893988756819
V26,0.0032849142835712497
V20,0.0037616767841949007
V8,0.003868996385152945
V15,0.004550708749079613
V27,0.005261951268576337
V12,0.006737863348152495
V23,0.009685641997970085
V25,0.017361777345606823
