feature,shap_importance
V24,0.012506325696551975
V10,0.012121291247977964
V3,0.009816737723040465
V18,0.006736126760054059
V11,0.006205345306461637
V8,0.005921000622077385
V2,0.004879613468823728
V21,0.003843644780190987
V6,0.0035009266000460737
V27,0.003487147778195321
Class,0.003103060491726448
V12,0.0025851911762259953
V15,0.0025082717809187163
V1,0.0024360776243225325
V28,0.002398441405851037
V20,0.0023653267391714394
V7,0.002202222084605324
V22,0.0021582358996434085
V4,0.002129273965859636
Time,0.0019991003958303123
V16,0.0019228958112106449
V13,0.0017290498478032678
V14,0.0016533492959884281
V9,0.0014748970864033703
V17,0.001434635167163578
V26,0.0013266296040483378
V19,0.0011925793979650741
V5,0.0010698244163857712
V23,0.0008241211639004941
V25,0.0007252134201464398
