name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,logloss,0.6482611333073892,13.36,0.0639
2_Default_LightGBM,LightGBM,logloss,0.6305650480366556,9.77,0.0278
3_Default_Xgboost,Xgboost,logloss,0.6076200887109579,12.26,0.025
4_Default_CatBoost,CatBoost,logloss,0.5858463828123807,24.54,0.014
5_Default_NeuralNetwork,Neural Network,logloss,0.6427347059903938,4.24,0.0428
6_Default_RandomForest,Random Forest,logloss,0.6931485435418347,8.97,0.1562
11_LightGBM,LightGBM,logloss,0.6931471805599453,4.37,0.0544
7_Xgboost,Xgboost,logloss,0.6931471805599453,4.12,0.0274
15_CatBoost,CatBoost,logloss,0.5660364328906091,26.94,0.019
19_RandomForest,Random Forest,logloss,0.623855941319493,16.1,0.1586
23_NeuralNetwork,Neural Network,logloss,0.6992070606016861,4.46,0.0294
12_LightGBM,LightGBM,logloss,0.6312074077785729,8.64,0.0223
8_Xgboost,Xgboost,logloss,0.6075894053266582,13.37,0.0334
16_CatBoost,CatBoost,logloss,0.6206912186899902,16.99,0.0183
20_RandomForest,Random Forest,logloss,0.6931631249513966,10.21,0.1902
24_NeuralNetwork,Neural Network,logloss,0.6351625835985432,4.32,0.066
13_LightGBM,LightGBM,logloss,0.6931471805599453,3.58,0.0213
9_Xgboost,Xgboost,logloss,0.6931471805599453,4.17,0.0274
17_CatBoost,CatBoost,logloss,0.6092710436671596,16.78,0.0145
21_RandomForest,Random Forest,logloss,0.6931471805599453,10.26,0.1555
25_NeuralNetwork,Neural Network,logloss,0.7656378608697723,7.52,0.1349
14_LightGBM,LightGBM,logloss,0.6305650480366556,7.71,0.017
10_Xgboost,Xgboost,logloss,0.6931471805599453,7.27,0.029
18_CatBoost,CatBoost,logloss,0.5658274543365993,35.64,0.0166
22_RandomForest,Random Forest,logloss,0.6931532580000952,13.14,0.2999
26_NeuralNetwork,Neural Network,logloss,0.6587167385374888,11.03,0.0892
18_CatBoost_RandomFeature,CatBoost,logloss,0.4526280934792991,95.13,0.016
18_CatBoost_SelectedFeatures,CatBoost,logloss,0.5912353349043001,7.91,0.013
8_Xgboost_SelectedFeatures,Xgboost,logloss,0.593706001244852,6.44,0.0333
19_RandomForest_SelectedFeatures,Random Forest,logloss,0.606299730195763,10.76,0.1551
2_Default_LightGBM_SelectedFeatures,LightGBM,logloss,0.6931471805599453,5.16,0.0242
24_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.6424633548440496,10.98,0.038
27_CatBoost,CatBoost,logloss,0.5813426448206485,42.15,0.0294
28_CatBoost,CatBoost,logloss,0.5657259100001601,33.06,0.021
29_CatBoost,CatBoost,logloss,0.5716440952488274,54.9,0.0194
30_Xgboost_SelectedFeatures,Xgboost,logloss,0.5918604404348105,7.59,0.0264
31_RandomForest_SelectedFeatures,Random Forest,logloss,0.9264146163426542,12.36,0.1586
32_RandomForest_SelectedFeatures,Random Forest,logloss,0.6931474246934177,19.41,0.1565
33_Xgboost,Xgboost,logloss,0.6040313805427076,7.85,0.0287
34_RandomForest,Random Forest,logloss,0.5625927134928449,10.34,0.1544
35_RandomForest,Random Forest,logloss,0.6931474246934177,24.46,0.1737
36_LightGBM,LightGBM,logloss,0.6305650480366556,17.24,0.0299
37_LightGBM,LightGBM,logloss,0.6305650480366556,11.35,0.0254
38_LightGBM,LightGBM,logloss,0.6305650480366556,11.68,0.0229
39_NeuralNetwork,Neural Network,logloss,0.6695445143045162,9.28,0.0769
40_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.6075480992781108,8.43,0.1318
