feature,shap_importance
V27,0.06894783384389916
V10,0.0648583057939915
V6,0.06248197788496824
V13,0.046734341445822024
V18,0.041875962027320565
V9,0.041817167885102986
Amount,0.03661905038566831
V19,0.0356322846558943
V22,0.034438510571642524
V7,0.03426889537719492
V14,0.02668542123983695
V2,0.024863964378115597
V24,0.02234797534853061
V11,0.021908882169391682
V5,0.019842448888134457
V8,0.01984095115843608
V28,0.01908221976970847
V15,0.019067065691807324
V1,0.018856097293233173
V23,0.018595111020618917
V26,0.017738381743591825
V12,0.01679349086718455
V16,0.01427066032370649
Class,0.010916228391369258
V25,0.010670707130422988
V4,0.008036678053363312
V3,0.004489931402827903
V17,0.004370062500824326
V21,0.003160053628778252
V20,0.0019223828308133225
