feature,shap_importance
V11,0.0030273092
V5,0.0026205317
V6,0.0020422216
V10,0.001556507
V4,0.001549713
V13,0.0012933533
V19,0.0010253886
V8,0.00080076925
V22,0.00073207164
V12,0.00065828173
Amount,0.00054413284
V16,0.00046719523
V28,0.00046104344
V9,0.00045578135
V23,0.00020063538
V21,0.00018574095
V1,0.00018362721
V7,0.00018085308
V2,0.00015334123
V15,8.3005594e-05
V3,7.505925e-05
V24,7.451862e-05
V18,6.569643e-05
V14,3.9154478e-05
V27,3.8242302e-05
V20,2.9334027e-05
V17,0.0
V25,0.0
V26,0.0
Class,0.0
