feature,mean_importance
V5,-0.011785900861311528
V22,-0.011070305964118088
V25,-0.010664416581247772
V4,-0.010268919139908439
V15,-0.006982493561876346
V18,-0.006402958093865508
V23,-0.006265517342617111
V28,-0.006109605434054544
V9,-0.005660740115715157
V6,-0.005617538076586071
V16,-0.005418589203505286
V12,-0.0019761762684421757
V14,-0.0016522261306161745
V10,-0.0009670253066097701
Class,-0.0003991329681786837
V26,-1.1118738572202247e-05
V27,0.0006058363062694915
V2,0.004078254791512892
Time,0.004766508946562942
V7,0.004804826463012768
V11,0.0054143648764615636
V21,0.005465827767568631
V13,0.005850914724327083
V19,0.006144811249606396
V20,0.007112442016226161
V8,0.008219415311010536
V24,0.008564140975570256
V3,0.009177917385828627
V1,0.009545002688131543
V17,0.016263670662986264
