feature,mean_importance
V2,-0.0010693568659385865
V8,-0.0010081242927981293
V17,-0.0008889709502531539
V16,-0.0005092857802221129
V21,-0.00047312226373170675
V13,-0.0003828609108041725
V24,-0.00037780560613707157
V10,-0.00032034923803252456
V4,-0.0002574114798084448
V18,-0.00011301232708205156
V25,-3.781129593196653e-05
V15,-1.4948383048496439e-05
V12,-4.214593199547423e-06
V1,0.00012363455381834144
Class,0.0002476767628222909
V26,0.000330714350531669
V14,0.0003960641107572327
V27,0.00043350008372782244
V9,0.0009177377460825254
V19,0.0009461378149333121
V7,0.0010261802330363778
V28,0.0012516628460999657
Time,0.0013144187379075857
V5,0.0013525977715985072
V3,0.001404274394172278
V6,0.001702071732717414
V22,0.0021112518358954004
V20,0.002138038155339794
V11,0.002180968184837884
V23,0.0022184927757161075
