feature,mean_importance
V16,-0.00031663528324084035
V2,-0.00014779463185963238
V8,-0.0001459128962702394
V10,-8.215888480644917e-05
V3,-5.984847731395071e-05
V6,-5.1637779878133115e-05
V22,-2.5286263495560845e-05
V20,-2.3356715004041462e-05
V5,-1.86845277171388e-05
Class,0.0
V1,0.0
V25,0.0
V23,0.0
V9,0.0
V11,0.0
V13,0.0
V14,3.5845534637868324e-06
V4,9.081630228169324e-06
V7,2.113136287997808e-05
V12,4.81419009224382e-05
V28,5.21769891185464e-05
V18,7.473890427103224e-05
V17,7.908954735462715e-05
V26,8.588210537963104e-05
V21,0.0001136007973807196
V24,0.00012798814820127457
V15,0.0001451279977779274
V27,0.0001861252231350141
V19,0.0002355506696280818
Time,0.00031298868940383696
