feature,shap_importance
V25,0.07687234791063344
V26,0.06807712310485807
V16,0.06043065696744061
V19,0.05800188603120086
V11,0.05420896461103383
V3,0.046481060037749426
V28,0.04003362682554778
V18,0.03869764208612732
V12,0.03808133821420741
V4,0.03578799894560836
V6,0.03322612743443574
V9,0.030579368941291315
V2,0.027830355673503206
V13,0.027400189962668974
V24,0.026956226862608897
V1,0.02558522489091121
V23,0.022975059959862834
V10,0.02168943778511283
V21,0.016688143046232985
V27,0.016377047289574936
V8,0.011541993630022573
V20,0.010690659485793182
V5,0.01044660534023349
V14,0.01030854723300749
Class,0.006929169347043944
V7,0.005534178104912523
V22,0.005264209756623701
Time,0.0037833458463737433
V15,0.002012583475131708
V17,0.0018351403900149178
