feature,mean_importance
V3,-0.0022207986747806
V5,-0.0017537071445034025
V7,-0.001222384454943648
V11,-0.0011827029440495628
V26,-0.0009275736716107596
V17,-0.0006931743780774324
V6,-0.0006551889796645449
V28,-0.0006051906644571447
V20,-0.00030019274921977424
V14,0.0
V25,0.0
V24,0.0
V19,0.0
V18,0.0
Class,0.0
V8,0.0
V2,0.0
V13,0.0
Amount,7.861389194707691e-06
V22,3.263761545764243e-05
V15,5.361951299540646e-05
V1,6.877391523152365e-05
V27,0.00012711557380524764
V10,0.0001725710057623564
V9,0.0006299453594097448
V21,0.0007314135911562269
V12,0.0008909009968046
V4,0.0011708899676708296
V23,0.0012181622352821053
V16,0.0014527968103611455
