feature,mean_importance
Amount,-0.00396313648477904
V16,-0.0017549961938086779
V7,-0.0011103823617169216
V12,-0.0009013564062445356
V8,-0.0007005359192494565
V5,-0.0006636402853023027
V9,-0.0006291095468602181
V18,-0.00045789487207654745
V2,-0.0004235516934871786
V6,-0.0003765221343152936
V27,-0.00034374405239803176
V1,-0.00033095493553982893
V21,-0.0003265892923982161
V22,-0.00032617030910286893
V23,-0.0002702382267171899
V17,-0.00018520170948801428
V15,-5.932671040074222e-05
Class,-6.661338147750939e-17
V24,0.00013655314463270062
V10,0.00022037729581216858
V20,0.00035554717027859174
V28,0.00042212217356940585
V4,0.00048173430129672123
V3,0.0005954241702153418
V19,0.0007510971921216969
V25,0.0008231249925598538
V26,0.0010206390021708423
V14,0.0014919596380507326
V13,0.004457090856785073
V11,0.019220995253493366
