feature,mean_importance
V24,-0.0017336176795379687
V18,-0.001213422136805331
V8,-0.0011057549834843972
V11,-0.0008472685105301636
V5,-0.0007879529273257191
V4,-0.0007623223207665175
V27,-0.0005961370822272771
V21,-0.00038232995773344045
V25,-0.00034918096417539956
V23,-0.00034375046142700596
V10,-0.00030588090067695806
V2,-0.0002625027596145246
Time,-0.00021208697691237343
V1,-8.277011440425142e-05
V26,-5.6891436365891224e-05
V17,-4.836182483900497e-05
V20,7.612725140004883e-06
V7,8.141338205180926e-05
V22,0.0001081395727645873
V16,0.00027028608037418247
V12,0.00039841298792140376
V3,0.0005296274081857622
Class,0.0006310651502444032
V19,0.0007252024348582298
V6,0.0010389131541754138
V15,0.001255755410593129
V28,0.0013051268427552998
V14,0.0013909625494689549
V13,0.0020993267650516456
V9,0.0021411068533353727
