feature,shap_importance
V10,0.012900554624557598
V24,0.012862289125459045
V3,0.00992364652185923
V8,0.007336023146297307
V18,0.006209794372286303
V11,0.006169795021773032
V2,0.004919503055504569
V21,0.003808254761861419
V27,0.0037185085496960197
V6,0.003394406039193812
Class,0.003099769615787039
V12,0.0028983493338300215
V28,0.0025889660318938676
V15,0.0025177015471399083
V1,0.0023258315514402936
V20,0.0022885256292297118
V7,0.0021182183888607898
Time,0.002080583237931841
V4,0.002050466224114196
V16,0.002037877310746263
V22,0.0020132443803745808
V14,0.0017519705712896255
V13,0.0016471664292114763
V17,0.0014931220458006148
V9,0.0014534628244764934
V26,0.0012644655660286217
V19,0.0011539796078667594
V5,0.0011431958743468448
V23,0.0009449123883676626
V25,0.0006045257142195634
