feature,mean_importance
date_2199,-0.00019310877926637104
date_27,-0.00017345515012747725
date_2218,-9.344179398635965e-05
date_2256,-8.458311594101708e-05
date_2206,-7.323073527518709e-05
date_02,-7.166074695450498e-05
date_2046,-6.69832359469602e-05
date_06,-5.365581617531312e-05
date_13,-5.177322768394888e-05
unemployment_rate,-4.817207157690184e-05
date_05,-4.2908149600151545e-05
date_2295,-3.962216764481496e-05
date_21,-3.5187675838610485e-05
date_15,-3.348105536655765e-05
date_12,-2.8715358989694906e-05
date_17,-2.4823780975946618e-05
date_08,-2.4222273155061202e-05
date_03,-1.63720732644812e-05
date_2274,-1.5202477084441668e-05
date_2060,-1.3846877487777575e-05
date_24,-1.371616373093687e-05
date_25,-1.2743924706049015e-05
date_2172,-1.1762898517408971e-05
date_2156,-1.1345787620875569e-05
date_20,-8.48493388287963e-06
date_09,-7.71187822139474e-06
date_2048,-7.053848326332712e-06
date_2056,-6.544508333128363e-06
date_2053,-2.490401566612732e-06
date_2183,-2.0028088036472267e-06
date_26,-1.4642867598446685e-06
date_2072,-1.315609303143006e-06
school_absenteeism,-1.263185070055073e-06
date_2184,0.0
date_2181,0.0
date_2213,0.0
date_2208,0.0
date_2220,0.0
date_2269,0.0
date_2241,0.0
date_2246,0.0
date_2252,0.0
date_2260,0.0
date_2149,0.0
date_2278,0.0
date_2287,0.0
date_2289,0.0
date_23,0.0
date_30,0.0
date_31,0.0
date_2223,0.0
date_2133,0.0
date_2128,0.0
date_2077,0.0
date_2089,0.0
date_2103,0.0
date_2107,0.0
date_2109,0.0
date_2131,0.0
date_2075,0.0
date_2035,0.0
date_2111,0.0
date_2036,0.0
date_19,0.0
date_2125,0.0
date_2127,0.0
date_2030,0.0
date_2069,0.0
date_2248,2.1291958289815228e-07
date_2097,5.244784748281717e-07
date_16,3.933153067103845e-06
date_22,4.327856280594844e-06
date_2237,4.481402901346243e-06
date_18,5.3906881614551596e-06
date_2178,7.424341509798538e-06
date_2096,7.818303604878451e-06
date_2135,1.0997571334403488e-05
date_44,1.2912068320591884e-05
date_2185,1.4435957862524163e-05
date_28,1.7171639494328872e-05
date_2118,1.8149094102959395e-05
date_07,1.8344609923870435e-05
date_29,2.1207786113119907e-05
date_2271,2.1505984650582734e-05
date_2124,2.239822459269014e-05
date_2281,2.4581220458941288e-05
er_visits,2.5152451361520888e-05
date_11,3.065537594917345e-05
date_01,3.408101308060019e-05
date_2120,4.2599049417102466e-05
date_14,4.544683414713369e-05
date_119957,4.8685241772572495e-05
date_04,5.581030720929192e-05
date_2191,5.6005815928017455e-05
date_2180,6.3206812427552e-05
date_2249,6.812931409303503e-05
date_2276,6.959978906331265e-05
date_2282,8.301078183516885e-05
poverty_rate,0.00010407143685737807
date_10,0.00010505960042617168
date_2261,0.00012090755863063407
date_2194,0.00012233695922292398
date_47,0.00014523710079621387
date_2058,0.00014896607847054711
