feature,shap_importance
unemployment_rate,0.0011374103289371641
date_27,0.000889175462167094
poverty_rate,0.0008177083564056943
date_02,0.0005517495636599974
er_visits,0.0004625691896021698
date_2058,0.0003654335776563484
school_absenteeism,0.0003326975660968821
date_2206,0.00032546673820375014
date_14,0.0003254631866031212
date_08,0.0002841386440402121
date_04,0.00028223255604271604
date_24,0.00026285576928535676
date_119957,0.0002612185967144564
date_2180,0.0002492552818919971
date_06,0.00023327993778225815
date_26,0.00023033419546229992
date_12,0.0002215579653712438
date_03,0.0002099376840170713
date_07,0.000160762816555018
date_10,0.0001581738156489077
date_2249,0.00015264689861915211
date_16,0.0001335758023181659
date_2260,0.00013106666047268855
date_2107,0.0001249237167137061
date_2046,0.00012141941541835217
date_2282,0.00011626423041548527
date_2096,0.00010758518968131389
date_2048,0.00010488066232021754
date_21,0.0001034195921563897
date_2295,0.00010025825148794523
date_2053,9.848731563019061e-05
date_09,8.880853246210617e-05
date_29,8.462863502638336e-05
date_17,8.013335657234136e-05
date_47,7.544521078642108e-05
date_05,7.180731545011752e-05
date_2124,7.051070849333052e-05
date_2060,6.857925269970118e-05
date_01,6.371920878097007e-05
date_2131,5.93202725074577e-05
date_11,5.4517013588011365e-05
date_2218,5.385564203337225e-05
date_2133,4.910471638191449e-05
date_2097,4.910037149090224e-05
date_2256,4.661535899741634e-05
date_2281,4.277339779936227e-05
date_2056,4.244212365123875e-05
date_2036,3.934475307533253e-05
date_2191,3.804418485411284e-05
date_2199,3.792823726219795e-05
date_2194,3.566188847149242e-05
date_15,3.2285762564689196e-05
date_2118,3.088244757225674e-05
date_22,3.039021623031082e-05
date_2111,3.038077887085729e-05
date_2208,3.0256499011193332e-05
date_2185,2.8517009909329692e-05
date_2274,2.7281269041486174e-05
date_2261,2.3360511555017144e-05
date_2183,2.156843316661283e-05
date_2276,1.8617821470412382e-05
date_2289,1.7917481561821867e-05
date_2135,1.7271433676076314e-05
date_2271,1.535848433055894e-05
date_44,1.4555907562576214e-05
date_2172,1.4160810473082227e-05
date_18,1.2901341564201594e-05
date_25,9.051647505411712e-06
date_2072,8.640769675650976e-06
date_19,8.554760849961329e-06
date_20,8.04674442522841e-06
date_2269,6.598201884721099e-06
date_2248,6.514897301636906e-06
date_2125,6.378441816772114e-06
date_2109,6.333347365661892e-06
date_2178,5.775377665407203e-06
date_2156,4.667268147163431e-06
date_2077,4.45372982310107e-06
date_2241,4.42916377212248e-06
date_2075,4.159296218519281e-06
date_2237,3.9623790188992266e-06
date_2223,3.892566706966761e-06
date_2181,3.460202636537602e-06
date_2035,3.400537324714821e-06
date_28,3.0529232158732826e-06
date_2287,2.946726298957956e-06
date_30,2.945069022560604e-06
date_2030,2.9074753208265275e-06
date_2127,2.4485889108732854e-06
date_23,2.3081644847030087e-06
date_2120,2.1258729090993817e-06
date_13,1.3515540897502898e-06
date_2246,1.0997425905359698e-06
date_2252,7.736049545409272e-07
date_2184,0.0
date_2103,0.0
date_2149,0.0
date_2128,0.0
date_2069,0.0
date_2089,0.0
date_2278,0.0
date_2213,0.0
date_2220,0.0
date_31,0.0
