feature,mean_importance
V10,-0.0020095575584291093
V8,-0.0011777767184628861
V24,-0.0007273071021250965
V16,-0.00044068994332808754
V18,-0.0003873844787010139
V1,-0.0002462835106307848
V5,-0.00021856599615817097
V15,-0.00020618423804619201
V6,-0.00011901263088063275
V9,6.2101717995588505e-06
V26,7.341737232890999e-06
V7,1.1141830477967574e-05
V2,3.9254980912128976e-05
V28,8.20575149141245e-05
V14,0.00010438144723958764
V25,0.00012087930662358914
V22,0.00015492068019244963
V13,0.00015620900284694095
V17,0.00016568655157809254
Class,0.00017473628206501334
V19,0.0002393564832013917
V3,0.00023994726164189295
V20,0.00027553093897032533
V11,0.00029414245645407176
Time,0.0003086877958440315
V21,0.00032657279317971355
V12,0.00036124824395955546
V23,0.00036351883662459893
V4,0.00041103405358218216
V27,0.0004847764194165549
