feature,mean_importance
V26,-0.00264642425103645
V5,-0.0023048890117251418
V16,-0.002096113925583132
V13,-0.002005625372685138
V27,-0.0017292009468178992
V7,-0.001581578982183074
V18,-0.0015358576044383731
V9,-0.0009894236621450058
V6,-0.0007261643581974564
V11,-0.0007038577536392588
V17,-0.0006965633666501603
V1,-0.0006760485387307114
V25,-0.0006090672873798386
V24,-0.0005960375486617764
Class,-0.0005565284283355343
V20,-0.0004995739867261317
V8,-0.0004942334212457933
V15,-0.0003881057992875636
V22,-0.00022392069179413276
V21,6.72980917360011e-05
V3,7.133142946473825e-05
V4,0.00023264405239671327
V12,0.0004472415524680251
V2,0.0006598919124635838
V28,0.0007471741007639921
V14,0.0007875207929395334
Amount,0.0009385018503667464
V10,0.001082310141051135
V19,0.0014996321835210047
V23,0.0015768557351972135
