feature,mean_importance
V8,-0.000403972195591451
V6,-0.00026505565646712804
V19,-0.00015322623525431122
V20,-8.154383785732299e-05
V28,-7.282005631681354e-05
Class,0.0
V3,1.53873609034072e-05
V9,4.161356392224924e-05
V10,4.630703968730998e-05
V16,6.051049249808926e-05
Amount,0.00010181129871420503
V26,0.00011565924833658591
V25,0.00013305863863843914
V22,0.00013777378607677805
V7,0.00016548665251987505
V13,0.00017378647823338423
V18,0.00018158635582856685
V14,0.00018717848203213537
V4,0.0001907635052166068
V2,0.00019392744570434495
V12,0.00021670605900128148
V11,0.00021888171932631372
V23,0.00026897851475882195
V1,0.00030776656539530654
V24,0.00035232728156722184
V15,0.00043224261296472834
V27,0.00048034250114250556
V17,0.0008206941745206642
V5,0.0017110916104532859
V21,0.002224605453308115
