feature,mean_importance
V9,-0.018211276265176844
V14,-0.016329098687496567
V6,-0.0162685696835545
V28,-0.01531845297283727
V24,-0.007830898945742338
V25,-0.007287649418086994
V16,-0.006798318013369364
V1,-0.004473396486252312
V19,-0.004431188564591526
V12,-0.0037078233383168067
V3,-0.0034742063657808853
V21,-0.0024169329384101878
V23,-0.002190032893301641
V18,-0.001323418085804251
V27,-0.0012995945137963538
V20,-0.0007396590660043057
Class,-0.00040621807129581633
V8,0.0002159818160286431
V17,0.0014056239700924512
V13,0.001936232134532867
V4,0.0020641227199396095
V7,0.0043560986072950225
V5,0.004803452850964218
V15,0.005993822860554854
V22,0.006040786623926575
V26,0.0072827378326631555
V2,0.008049321633506601
Time,0.012600834975944154
V11,0.015051307170457173
V10,0.024779792404157463
