feature,shap_importance
V25,0.06031731731167888
V11,0.03546781982530438
V19,0.033551781847008556
V26,0.0274895022969091
V1,0.02484835932303264
V28,0.02209817415010867
V24,0.02102792156162753
V18,0.020271747243534498
V16,0.01907752203158181
V2,0.01672126049368025
V13,0.016281610172234163
V3,0.015504544264906765
V4,0.014727422297372655
V12,0.01366210088837417
V22,0.012823249330858167
V6,0.012204462484522642
V9,0.011326029330444796
V20,0.010724010750175086
V8,0.009217460471727066
V23,0.008132252615521689
V21,0.006863516379218779
V27,0.006784510580566024
V5,0.006676629952718937
V14,0.0065073311816758374
Time,0.005967924319878781
V15,0.005472835729000609
V7,0.004914476688304612
V17,0.004736959497058145
V10,0.0037712460195972416
Class,0.0
