feature,mean_importance
V18,-0.016338091691465006
V26,-0.013548375888431653
V6,-0.007669735001735045
V16,-0.007405705258275752
V23,-0.007006817500269946
V10,-0.0064069320616048754
V1,-0.0058805883525557155
V9,-0.005349131663469198
V4,-0.004512658396614943
V25,-0.002270619605482205
V12,-0.0012858743734243561
Time,-0.0008008223396581027
V15,-0.0004481282284851673
Class,-0.000390177073076714
V3,2.0681471592531865e-05
V17,0.00010390274802714039
V8,0.0004537101913293817
V22,0.0007736154268315864
V7,0.0010117587681145236
V21,0.0013695111777079383
V20,0.0014082782611656963
V5,0.0016092966040536006
V24,0.0019072588952894875
V19,0.0020089116610950255
V14,0.0024658271213978456
V27,0.0033145852455910064
V28,0.004550962277604054
V13,0.005818858521217551
V2,0.008804171813794026
V11,0.009559197253702623
