feature,shap_importance
V26,0.02428553661145925
V11,0.02110394322807467
V6,0.01802003651818481
Amount,0.015560590932424196
V13,0.015452684619143533
V16,0.01158075325176873
V12,0.011347214355787514
V14,0.010751958542668383
V25,0.009548861552748266
V21,0.009106317025835642
V18,0.008957575588092716
V27,0.008426190762757923
V28,0.007908996963280705
V7,0.005147383407542243
V22,0.004882290982789879
V9,0.004450164912436786
V5,0.004410624946030018
V15,0.003065170927008446
V3,0.0028795387024939173
V24,0.0027356425441210637
V4,0.00273257864362924
V20,0.002689519586839804
V10,0.002451947949742883
V8,0.002400982245136183
V19,0.002379388004979673
V1,0.002296372488590647
V23,0.0021923506483257143
V17,0.0015221023920372744
V2,0.0013199480202868378
Class,0.0
