feature,mean_importance
V18,-0.0052971493779305325
V3,-0.004803357390635243
V5,-0.0017788744712066596
V12,-0.0015836031455255472
V21,-0.0013875986797474925
V6,-0.0012905826222697314
V15,-0.0007674667041090543
Time,-0.00040117969819077894
V11,-0.00024384158237080733
V10,-0.00021003750888399787
V24,0.0
V20,0.0
V17,0.0
V28,0.0
V14,0.0
Class,0.0
V16,0.00019743500710762697
V8,0.00037155031075180033
V4,0.00047255556723322376
V22,0.0005153644563293813
V27,0.0006059482176283826
V9,0.0007973628338756811
V2,0.0008767191638767713
V7,0.0010065494738050519
V1,0.0013502116561515455
V19,0.001484757361276756
V13,0.0018110513492654245
V23,0.0020386910875061838
V26,0.004076471267525861
V25,0.004349678744591223
