feature,mean_importance
V19,-0.013095095045551331
V9,-0.0038009859234806155
Amount,-0.0035902040234096154
V2,-0.003172205297591901
V27,-0.0029477825755668706
V24,-0.0014269100903939514
Class,-0.00136309902775964
V17,-0.001354877224122264
V10,-0.0012434467888765345
V22,-0.0008157659430668484
V18,-8.18486097414084e-05
V12,-6.994593338660593e-05
V21,-6.8897761209996135e-06
V11,2.375416163951094e-05
Time,3.136863517219091e-05
V7,4.167536279133799e-05
V8,0.00025574673090771326
V14,0.0004452570718674664
V15,0.0005646848872242316
V28,0.0009332586311895597
V3,0.001147179785858965
V26,0.001418735830786977
V13,0.0014540235581971927
V5,0.004634887177137515
V25,0.004701952551260114
V20,0.004871722840783787
V23,0.005508081896144023
V1,0.008037651929537315
V6,0.009269680376357536
V16,0.019849917532871596
