feature,shap_importance
V16,0.09475691640310067
V6,0.05435021493512103
V19,0.04799124813196268
V2,0.04113950461388828
V5,0.03885382133604015
Amount,0.037063386561761315
V9,0.03578813303357394
V1,0.031591824734991
V24,0.026236625280911554
V27,0.023729373231079813
V14,0.02160707717428416
V23,0.020939373410477344
V26,0.018827373854753603
V25,0.016202826554187606
V20,0.015446812458217355
V28,0.012271231404741624
V12,0.010440709868166332
V13,0.009481950115865093
V10,0.009085176017032019
V3,0.008807148529655924
V21,0.0060882465722543275
V17,0.005673454877686802
V22,0.004151891533168
Class,0.0029040398278497898
V7,0.0026396365526344017
V15,0.0025854470372107443
V18,0.0021417669174922257
V8,0.00176714694481413
Time,0.0005596686966549112
V11,0.00032116778230111573
