feature,mean_importance
V18,-0.006887424959097244
V24,-0.003056126167920503
V23,-0.002707698514940704
V2,-0.0017530622472130997
V7,-0.0015578042819288207
Class,-0.0010962029431759834
V22,-0.0005689506954372093
Time,0.00020903564742615898
Amount,0.0003609163948770089
V9,0.0005389278377545992
V28,0.000732538878003508
V27,0.0015233009120703134
V15,0.0021799488702004765
V1,0.0032025857105161927
V17,0.003425239424663662
V26,0.0038330094718969756
V3,0.004058676292617492
V10,0.004333380564189637
V25,0.005048063081621734
V12,0.005083340407204551
V11,0.005341884998488133
V8,0.005738433039412927
V21,0.005821621191662274
V20,0.006614470978359943
V13,0.00735571399557724
V14,0.008149044662996551
V5,0.008858975018589677
V19,0.009463317049457576
V6,0.010751135522578004
V16,0.012650360587837728
