feature,shap_importance
V16,0.05846296
V19,0.03380949
V9,0.030696405
V5,0.023938749
V20,0.020666298
V6,0.019814422
V23,0.019551564
V24,0.019464467
V14,0.018812982
V3,0.01804018
V13,0.015966773
V25,0.014874992
V15,0.0135017345
V26,0.011965861
V21,0.011743397
V27,0.01170703
V18,0.01149073
V12,0.010018036
V11,0.008629073
V10,0.008063133
Time,0.0064058267
V17,0.0063071256
V8,0.0061830683
V2,0.005957379
V1,0.005459545
V22,0.0052261017
V28,0.00469647
Amount,0.0045823944
V7,0.004295242
Class,0.00047979478
