feature,mean_importance
V19,-0.00901561604162704
Amount,-0.0070417765003960575
V25,-0.0026542257182284867
V24,-0.002593430606963487
V11,-0.0016536511655180774
Class,-0.0014429185803515932
V2,0.000314320709618876
V28,0.000644904766284471
V18,0.0008438563498766261
V12,0.0011973656917653396
V10,0.0022255813153553737
V21,0.0029573811183642106
V27,0.0034252802293634143
V14,0.0034278583834859598
V20,0.004696389823933567
V8,0.004964893489121413
Time,0.005508903249791785
V6,0.005852658507247854
V15,0.006778586808859499
V23,0.007074684490700233
V3,0.008377110226777918
V9,0.008428202110945637
V26,0.009656619895617035
V17,0.011064668519941413
V1,0.011285718783758369
V13,0.01178711326650439
V16,0.01603415076883481
V22,0.016750751046115075
V7,0.01717987590841803
V5,0.01789440366825166
