feature,mean_importance
V2,-0.0050162174293072685
V19,-0.00393339963767283
V15,-0.0029782566017474642
V22,-0.0013349202920406532
V24,-0.0010227168934969556
V18,-0.0007247971196347791
V14,-0.0006758067062447193
V28,-0.0003058243426941054
V1,-0.00024258464218402943
Class,0.0
V8,1.8933240532703622e-06
V20,1.0606080358854797e-05
V7,5.563718041008414e-05
Amount,6.557514286913424e-05
V11,0.00015214251740993667
V27,0.00037404458059779876
V21,0.0008733235429469576
V3,0.0011688875010035904
V26,0.0012757768508679934
V12,0.0014124447125255734
V17,0.0016825561039490288
V10,0.0021869353796247102
V23,0.002233891328388893
V25,0.0023005903481023715
Time,0.002622625713417115
V6,0.0034102813749040894
V13,0.003481082658023782
V5,0.004040081972211196
V9,0.005027667264036006
V16,0.006263098520839483
