feature,shap_importance
V16,0.05297860877734373
V9,0.03642532814513701
V19,0.02236366061352525
V6,0.01607914550511636
V5,0.015352318216464298
V15,0.01516565783350199
V3,0.012515254766731257
V2,0.009524254696621846
V23,0.009502593821502347
V25,0.008323256356029934
Amount,0.00814670179726126
V12,0.007966881995803726
V18,0.00792480063529208
V27,0.007896305695534242
V14,0.007015354366200059
V13,0.0069322368889435425
Time,0.0059703425766297665
V20,0.00532250299735016
V11,0.004914772218313235
V8,0.004568703166158693
V10,0.004387440458297159
V26,0.004281429262645614
V21,0.0038249169939169564
V7,0.0037875597027560303
V24,0.003238905717155505
V1,0.0028233468450306535
V17,0.002618999541796589
V22,0.002588470132024328
V28,0.002184209915099415
Class,0.0
