feature,mean_importance
V22,-0.00043715858025330514
V1,-0.00017202490758876364
V28,-0.00016329720131773583
V5,-0.0001353832270532429
V3,-0.00012684293092948273
V15,-0.00012592147935497344
V12,-0.00011373927454074728
V27,-8.147202430930367e-05
V18,-6.553337671253435e-05
V13,-2.6840421380947e-05
V20,-2.3593919551556654e-05
V2,-7.846405388289846e-06
V24,-6.133672538299884e-06
Class,0.0
V26,0.0
V25,0.0
V17,0.0
V14,1.4258424947954929e-05
V19,4.644927891346295e-05
V23,6.549155893837977e-05
V4,7.440861683238875e-05
V16,0.0001082909413732569
Amount,0.00011066318608350389
V7,0.00011382691822139356
V10,0.00014108383160333916
V8,0.00014565397160881677
V21,0.0001637568586757787
V6,0.00016946281731651248
V9,0.0002645083726644959
V11,0.0005147069246257852
