feature,shap_importance
V11,0.0029938933
V5,0.0026519496
V6,0.0022491808
V10,0.0015913883
V4,0.0015603849
V13,0.001298066
V19,0.001156023
V22,0.0008362003
V8,0.0007957519
V12,0.0006844083
Amount,0.0006058301
V28,0.00057793566
V9,0.0005151594
V16,0.0004380112
V23,0.00021226847
V1,0.00021104145
V7,0.00019857024
V21,0.00018155212
V2,0.00013309978
V24,9.732493e-05
V18,9.6729345e-05
V15,9.1707734e-05
V14,8.060717e-05
V3,7.877287e-05
V27,4.2614804e-05
V20,3.8957485e-05
V17,0.0
V25,0.0
V26,0.0
Class,0.0
