feature,mean_importance
V19,-0.004506558550231787
V10,-0.003581123132417696
V25,-0.0033336597192969997
V17,-0.002883237411794726
V7,-0.002472019285303384
V4,-0.0017362841225079695
V26,-0.001128151617907136
V8,-0.0010185070858101941
V1,-0.0009757545067305528
Time,-0.0008607523911173143
V11,-0.0007435682244645748
V2,-0.0007267203511996722
V27,-0.0006273034762705798
V13,-0.000570809552568896
V22,-3.4694451486849685e-06
V24,0.00022682069251152016
V28,0.0004963874054364048
V23,0.0004972470321991107
V6,0.0006431755589850318
V9,0.0007030537359618893
Class,0.0007605127671987955
V16,0.0007898811414294826
V18,0.000864897080305882
V5,0.001038975299841427
V20,0.0010696844928074433
V14,0.0010903055958675356
V15,0.0015609116654940803
V21,0.001656362810080614
V3,0.00294312156154235
V12,0.003051281036393139
