feature,shap_importance
V24,0.013234841687114555
V10,0.011322367923762242
V3,0.009774300435043626
V18,0.006530258254839589
V8,0.006515174246334154
V11,0.006024701875815014
V2,0.004900600628141766
V21,0.0037607118561265654
V27,0.0035241943088421017
V6,0.0033561803691965603
Class,0.003185689359151584
V12,0.002705264836578445
V28,0.00258282757783953
V15,0.0024630756007948443
V1,0.002318631748354755
V20,0.002301839109497732
V7,0.0022826363839945018
Time,0.0020956271964747983
V16,0.001959232898752566
V4,0.0019478177338837785
V22,0.0019391390797725404
V13,0.001763604270726466
V14,0.0015847337712509438
V9,0.0015140343767778804
V17,0.0013830401387839098
V26,0.0012851492093686322
V19,0.001208600158883626
V5,0.0010760388444984881
V23,0.0007673873083153705
V25,0.000652649503638684
