feature,mean_importance
V26,-0.010519625568438596
V19,-0.009312380226636741
V22,-0.0039549009547737764
V1,-0.0026591564167342875
V13,-0.0017012047295254184
V28,-0.001063220603578241
V8,-0.0010094814861764333
Class,0.0
V14,1.6467649770923742e-05
V12,0.0007966225961482998
V17,0.0013501087191048811
V3,0.002742347630683817
V10,0.003470595858626169
V23,0.0034850558778315665
Amount,0.004455430819514916
V7,0.005339389047866838
V4,0.00788690358927635
V20,0.008481380120362925
V15,0.010831135242517043
V5,0.012031222770557192
V21,0.013040417514418933
V27,0.014424488568543925
V24,0.015207463868907567
V11,0.016159533631932187
V16,0.01908360599716561
V18,0.020095391487704985
V6,0.027910305775506926
V9,0.02907826919803531
V2,0.031403067626997405
V25,0.0333836169003499
