feature,mean_importance
Amount,-0.012674346995941388
V13,-0.006562945579501633
V10,-0.0056997331205771214
V22,-0.005699459296080978
V3,-0.0040006684418049335
V15,-0.0023093300413302487
V19,-0.0008245403163417819
V16,-0.0005897001678134117
V23,0.00014886439147101526
Class,0.0008095250765072671
V12,0.0008222381416751467
V4,0.0009274085304573632
V5,0.0014651864817738947
V18,0.0014961831998583364
V2,0.001876603029456092
V8,0.0021040927822032706
V21,0.0026545090100642986
V20,0.0032308833115511247
V27,0.0036271848596180155
V1,0.003956070136548373
V9,0.0040836735367582476
V26,0.004196896102650083
V17,0.004278428407208068
V14,0.004304661073073035
V28,0.004772700875947056
V7,0.007022457668759685
V11,0.0071886067783958115
V25,0.007377684727887512
V6,0.007502328521751256
V24,0.008190020866069413
