feature,mean_importance
V18_sum_V15,-0.012395641192387386
V2,-0.011741162960899354
V23_sum_V6,-0.009417134715913433
Amount,-0.00899130002929538
V15,-0.007436041905621149
V17,-0.006817567886989328
V12,-0.006803097622737009
V6,-0.004291277711326114
V9,-0.0039336331715579265
V27,-0.003580694544830565
V22,-0.0010264190126993088
V26,-0.00037042248275325206
Class,0.0
Class_ratio_V24,0.0
Class_multiply_V11,0.0
V11_ratio_Class,1.177613080005635e-05
Class_multiply_V28,0.00017506601426890976
V7,0.0002939833691981031
V3,0.000549144638153698
V16,0.0011773046342959058
V28,0.0018407028696877826
V5,0.002049451001353608
V28_ratio_Class,0.0023880012375529615
V23,0.0025364480810139865
V3_ratio_V21,0.0028907094674353708
V25,0.0034008840191860124
V18_multiply_V15,0.004577133465687155
V21,0.006129755202117804
V24_ratio_V28,0.006587096703237494
V14,0.007112881931608172
V1,0.008601023470416292
V11,0.00886844852605797
V4,0.009411078439306598
V8,0.009962358459303688
V24,0.0102777139581812
V18,0.010440496611583838
V10,0.011231198454137115
random_feature,0.011767925121309974
V19,0.011890241673915725
V20,0.012326529812439358
V13,0.015103896543899986
