feature,weight
intercept,-0.004058090530672272
Amount,-0.06300776892555103
V1,-0.04759765188745249
V2,-0.002847689874743159
V3,-0.015177827873278524
V4,-0.012027454248073386
V5,-0.023812830208905216
V6,0.029584522317022292
V7,0.0084247135716375
V8,0.01308789973816282
V9,-0.07267559926641311
V10,0.0741926101723043
V11,0.014683928500299216
V12,-0.008318132565746648
V13,-0.07228575623907044
V14,0.028444886622281285
V15,-0.01510349130407226
V16,-0.018447780535386704
V17,0.01823889410213734
V18,0.024093888797789557
V19,0.10853075316029968
V20,-0.013919729347570301
V21,-0.025870781268980157
V22,0.09439819933385546
V23,-0.020554576070107265
V24,-0.021058177276384787
V25,0.01904064035672917
V26,0.05468611632416424
V27,-0.04658827762053561
V28,0.018889965414705532
Class,0.19592623406615445
