feature,mean_importance
V12,-0.004253810298593263
V24,-0.0037123932835454454
V20,-0.0036487961126441927
V26,-0.0031224274947830423
V8,-0.0024975046153467685
V2,-0.0018789194099023908
V3,-0.0017238032266731374
Amount,-0.0013890028102359509
V11,-0.0012876701566157944
V4,-0.0007461919862688182
V28,-0.0006805745832178412
V17,-0.0005124087390658393
V7,-0.0001792629939751933
V21,1.7900073078935818e-05
V5,0.0003178036782979232
V16,0.00033529144960287027
V18,0.0008552277068450964
V1,0.0009093204182706982
Class,0.001769331886332326
V23,0.002129943885900132
V25,0.002954583146933909
V15,0.0036740719429650516
V14,0.004905906228022494
V27,0.005961418036390898
V9,0.005967612666075683
V19,0.006007696452724609
V22,0.006128953087072664
V6,0.006454062405772465
V13,0.006700132545665705
V10,0.013697766187099702
