feature,mean_importance
V1,-0.002621834599523587
V2,-0.001947541609852732
V8,-0.001780582365965433
V25,-0.0013573766819436894
V7,-0.0013550107913212317
V12,-0.0010574974163493733
V4,-0.00037052120698510826
V16,-0.00018310153238030314
V18,-0.0001480966956586949
V17,-0.00014082140353786077
V28,-3.994567080183309e-05
V20,-9.66046518890984e-06
Class,0.0
V3,0.0
V13,0.0
V5,2.3940186885118564e-05
Amount,0.00012645848886199128
V15,0.00023264947649519473
V19,0.0002781129057499054
V26,0.00029871399627172667
V9,0.0004140540321799113
V27,0.0005651615077579164
V23,0.0007069173416786479
V22,0.000743863801156075
V11,0.0008012167821306537
V24,0.0009997563369517736
V6,0.0013422874383788753
V14,0.0019045639820188809
V21,0.004379031599061278
V10,0.006154543594992945
