feature,mean_importance
V3,-0.032742116927108024
V13,-0.019714594625275784
V19,-0.014403776298244608
V8,-0.013954637033235828
V9,-0.007291809780139968
V15,-0.005784264166142594
V27,-0.005058678720598242
V1,-0.0032921768562953037
V11,-0.0031511494790257945
V12,-0.002929837759189291
V10,-0.0021828190736822074
V6,-0.0019123776751435618
V14,-0.0016586507710469212
V5,-0.0010889528113463554
V23,-0.00045438170047467085
V21,6.8232074858620704e-06
V24,0.00016808061788282648
Class,0.00031060825449991114
V18,0.0003564639698826921
V20,0.0006678434041319292
V17,0.0009433482073756938
V4,0.0011403092860645225
V22,0.0019106581237868126
V25,0.004257957474575291
V7,0.004300250763687896
Amount,0.004831263750869286
V2,0.005061194607889963
V26,0.005447870723812143
V28,0.01016249024625313
V16,0.013786706302700891
