feature,mean_importance
V16,-0.0025153932758480656
V21,-0.0021312501428470076
V25,-0.0020732657001658827
V19,-0.002052352758782794
V11,-0.001898399118526717
V5,-0.001307407773999536
V17,-0.0012378423644200832
V28,-0.0011216220095145335
V24,-0.0009745631553459644
V26,-0.00014771705691303262
V2,-0.00011843603125478719
Class,1.1102230246251565e-16
V3,1.1102230246251565e-16
V4,1.1102230246251565e-16
V1,8.952206940964214e-05
Amount,0.00013591461059372367
V20,0.0002304397296176264
V8,0.0005143565189227539
V15,0.0006394884099809372
V22,0.000700319923763848
V7,0.0007035048666345301
V14,0.0007087000466407423
V6,0.0008973553876595597
V23,0.0010736982697286956
V12,0.0013842449828734172
V9,0.0014783924300217244
V10,0.0017603911699900054
V27,0.0033389184334542852
V18,0.004329876376160735
V13,0.011722926733694683
