feature,mean_importance
V13,-0.03178377430331225
V7,-0.02756137771549121
V5,-0.02251288784745169
V4,-0.02124586720359529
V8,-0.01592499576914439
V28,-0.01501335633008174
V17,-0.014559531334679642
V26,-0.011432062939293575
V20,-0.010695005843652971
V10,-0.009999107004213048
Amount,-0.009651975478851682
V27,-0.009229876332189768
V3,-0.008849292195781322
V12,-0.008785714666544719
V9,-0.008451974147822127
V18,-0.004460045254750566
V28_ratio_Class,-0.0037876682638857684
V19,-0.0029363607428176675
V22,-0.002757375384336136
V15,-0.0011478035648172734
Class_ratio_V24,-0.0007702302656686477
V23_sum_V6,-0.0006642676067998288
V11_ratio_Class,-0.00035565789209819344
Class,-0.0003055605760649005
V21,-0.00013662286775892874
Class_multiply_V11,-9.532349391556671e-05
V3_ratio_V21,7.876681217862113e-05
Class_multiply_V28,0.00034582000437159975
V24_ratio_V28,0.0006133011177110514
V6,0.001368179651784418
V1,0.002166363638393065
V18_multiply_V15,0.0034912319157010875
V18_sum_V15,0.004527563839781701
V25,0.004706862719851612
V24,0.005293805224909099
V14,0.005560591912305446
V11,0.0068953842015103016
V23,0.008114561894734983
V2,0.022028627647183628
V16,0.042067024548318746
