feature,mean_importance
V18,-0.0024887510109095957
V8,-0.002089565589242248
V25,-0.0016025017270408393
V10,-0.001568767810023064
V20,-0.00029197524187694055
V26,-0.00018729091996279036
V21,-0.00011415613740106689
V1,-0.00011105108805231634
V9,-6.275435934426366e-05
V14,0.0
V24,0.0
V23,0.0
V22,0.0
V19,0.0
V15,0.0
Class,0.0
V13,0.0
V7,0.0
V5,0.0
V4,0.0
V3,0.0
V2,0.0
V28,0.0
Amount,0.0003243693827490679
V11,0.000553796451922306
V12,0.0007821900397559922
V27,0.0009381157559948505
V16,0.0010852483201122976
V17,0.0018154889285519227
V6,0.004931157534334108
