feature,mean_importance
V4,-0.002574761525079361
V2,-0.0023601275253365417
V28,-0.001831143333328633
V25,-0.0016007908456215692
V20,-0.001077607349004217
Amount,-0.0009444831815856424
V17,-0.000705832710728016
V12,-0.0006488766926939116
V27,-0.0005663029639976669
V13,-0.0005647604268985695
V19,-0.0005413308871333511
V16,-0.00021118832374793505
V18,-9.411411912854106e-05
V8,-8.242655598094118e-05
V22,-2.7509876508835517e-05
V21,0.0
V26,0.0
V14,0.0
V7,0.0
V5,0.0
Class,0.0
V3,8.958373503433758e-05
V24,9.98632083407669e-05
V23,0.00012866491226999345
V11,0.0002382541756100087
V15,0.00037316265649736116
V1,0.0006143932837536559
V9,0.0007909332905685184
V10,0.001591141289093345
V6,0.0018213628344262212
