feature,mean_importance
Amount,-0.01640743897012926
V19,-0.01251862648742641
V18_multiply_V15,-0.007727879235274848
V3_ratio_V21,-0.0073268305118078915
V7,-0.006938850153679765
V2,-0.006775792199063746
V13,-0.006621504506117981
V8,-0.005669120498926228
V12,-0.0055497985652597
V16,-0.005448944725503835
V15,-0.004185933767518746
V24_ratio_V28,-0.003871180937719476
V11,-0.0027892235051627523
V1,-0.0013792672175220622
Class,-0.0007121211854672404
V9,-0.0006970979089221619
V18,-0.0006370766299838681
Class_ratio_V24,-0.00038999946565752006
V28_ratio_Class,-4.7259070477734254e-05
V11_ratio_Class,-1.1612159193230553e-05
Class_multiply_V28,1.578677053970523e-06
Class_multiply_V11,2.6045033096777637e-05
V17,5.49036317858409e-05
V25,0.00021579155510973447
V23_sum_V6,0.0002893641138471237
V24,0.0005145922659910429
V21,0.0012183416189542663
V23,0.001981248760957399
V27,0.002375645078005384
V5,0.0024796286119035393
V4,0.003486871208597031
V14,0.003886824859060778
V3,0.004990087355536521
V10,0.005149103484852735
V20,0.006256216729470054
V28,0.006946878347802365
V22,0.008947379835561597
V26,0.010212985303726652
V18_sum_V15,0.010526200184083257
V6,0.011275495460787165
