feature,mean_importance
V6,-0.0031923510000428923
V27,-0.0018674372918809467
V22,-0.001793384261452835
V12,-0.0016091268814785176
V14,-0.0013171682450135336
V28,-0.001195946581357532
V20,-0.0009248754881717059
V21,-0.000672251429062265
V4,-0.0005426601206648618
V15,-0.0004895470988506067
V23,-0.0003034997814647555
V25,-0.0001795316314736173
V19,-7.162081507465779e-05
V24,7.557970945248904e-06
Class,0.00010164561429477636
V17,0.000143663196815913
V18,0.00019701933872531274
V11,0.0004794121751101166
V26,0.0007138018385010713
V13,0.0008382767377470123
V8,0.0008714811526108424
V2,0.0008725290182950207
V1,0.0011380745999989505
V10,0.0012807424558074043
Amount,0.0013660567719401052
V16,0.0014680872855409755
V7,0.0018007327399964135
V3,0.0022306385316447795
V9,0.0026301201159004252
V5,0.0033126528855900394
