feature,mean_importance
V15,-0.010133600784867136
Amount,-0.00739265629670427
V3,-0.00728250853996566
V21,-0.006403498968881172
V24,-0.006329727445741939
V19,-0.005225893112848268
V1,-0.0012086689693856512
V11,-0.0010409071453765684
V8,-0.0006325195789959048
V7,-0.0001466530375109132
Class,0.00042003832501595894
V12,0.0004416142444600535
V17,0.0007542650537714524
V28,0.000768914315772995
V26,0.0013369911300604054
V18,0.0014106650434242863
V22,0.0015956065657279916
V2,0.0021391739053217896
V13,0.002932376313243612
V14,0.0029458424101790116
V6,0.003260412179474059
V5,0.003454916768716565
V4,0.003478236884445418
V16,0.0049411312776644015
V9,0.005503579018079119
V23,0.0058623860753652226
V25,0.007143433450446102
V27,0.007885488973449229
V20,0.009263130072717951
V10,0.009585151384005241
