feature,mean_importance
V28,-0.01793402300772078
V12,-0.013872489619946115
Amount,-0.011560454717534885
V20,-0.011533367748168554
V13,-0.01093757958211441
V26,-0.00648363725583252
V19,-0.004631551757805763
V15,-0.0038130438908534183
V11,-0.0024448971975667535
V6,-0.0022991104756306946
V9,-0.002265678649781844
V18_sum_V15,-0.0019280286827156878
V1,-0.0018710198983544757
V14,-0.001597738510021518
V16,-0.0006665288598797225
V24_ratio_V28,-0.0005334664373301656
V2,-0.0005317848558410887
V3,-0.0003381453377641286
Class,-9.659460682573951e-05
V7,6.030419448421753e-06
V3_ratio_V21,0.0006007877489640379
Class_multiply_V28,0.0006929050601327091
V28_ratio_Class,0.0008346107727202678
V10,0.0009412198885848433
Class_ratio_V24,0.001343283070836776
V22,0.0016753357068767904
Class_multiply_V11,0.0017691302225951056
V5,0.0024422358439937673
V25,0.0027410726170814747
V11_ratio_Class,0.003146070995302619
V21,0.003996512903738303
V17,0.005706121999570613
V24,0.008331348490926338
V23_sum_V6,0.00847902942305856
V8,0.008996002655806468
V4,0.010133754476090395
V18_multiply_V15,0.012645401185921834
V23,0.012713237086553874
V18,0.017231262543296565
V27,0.027613480697741544
