feature,mean_importance
V5,-0.004810256024463455
V25,-0.004031548494487347
V16,-0.0030899418148191858
V1,-0.002181833777088271
V13,-0.0016426051180230329
V3,-0.0016276919426371217
V9,-0.00141963246895509
V26,-0.001379078119450483
V17,-0.0006153331136332651
V10,-0.000274473210804449
V2,-0.00024175432553734665
V4,-0.00017290682033177518
Class,0.0
V7,0.0
V23,0.0
V8,6.997929048233598e-05
V18,8.179304662963016e-05
V19,0.00014427129450393926
V12,0.00015379622347653222
V21,0.00016723117022721112
V20,0.0001904500737734738
V28,0.00024077961834039207
V24,0.0003734900274090291
V15,0.0005301060616408782
V6,0.0006042674455938313
V14,0.0008242544818140906
Amount,0.0010137026133112848
V27,0.0013935398028753986
V22,0.0018247059840002188
V11,0.026098272350527196
