Time,Amount,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Class
121958,334.03,1.749242,0.28569,-0.230932,-0.238271,-0.86407,-0.592754,-0.284905,-0.142413,0.471011,-1.043339,-1.361725,0.335361,0.362808,-1.038019,-1.479575,0.004568,-0.834429,1.221627,0.29784,-0.496925,0.960871,0.474793,-0.931428,-2.305303,-0.022552,-0.586308,0.880667,-0.746409,0
146867,1145.9,0.794017,-1.066721,0.684843,-1.241042,-0.240662,1.369329,-0.567262,-0.708133,-0.880185,0.784211,1.196755,0.773082,0.119864,0.169915,-1.121981,-0.397706,-1.24076,0.820772,0.460701,-1.246525,0.166603,-0.573194,-1.632434,1.168117,0.953462,-0.079642,-0.867343,0.833731,0
131932,2714.7,0.457537,-0.11663,-0.965233,1.458639,-1.216607,-0.079389,0.128481,-1.661279,0.226164,0.526903,0.230698,0.619247,-1.117354,-0.309897,-2.161479,-0.319106,0.605943,-0.90841,0.898836,1.139845,-0.391956,-0.399728,-1.055647,-0.672641,1.450519,-0.708105,-0.461151,0.097881,0
103694,2158.21,-1.193597,-0.723088,-0.611269,-0.181636,0.982033,0.509139,-0.592644,-0.260669,0.225804,-1.665003,0.629661,0.310627,-0.63662,-0.325815,-0.407587,0.220105,-0.856615,0.236217,-0.203498,0.195042,-0.270249,-0.643047,1.517267,1.600411,-0.23668,0.229194,-1.394158,1.898222,0
119879,1664.75,0.935238,-0.401059,-1.167727,1.657142,1.717331,0.501561,0.254206,-0.323815,-0.624454,-0.826324,-0.217444,1.999616,1.447401,1.553421,-1.00528,-0.265481,-2.265616,1.837918,0.053305,0.50235,1.37728,0.676223,0.331462,0.120488,-0.455019,0.040467,-0.921948,-0.151167,0
110268,3653.02,-0.493771,1.870663,1.178228,1.105613,1.609283,-1.197988,-0.520648,0.172906,-0.25878,-1.091985,-1.781602,-0.657394,2.371322,0.070809,1.140584,0.454112,-1.651436,0.447537,-0.741544,0.034328,-0.00081,-0.068911,-0.267402,1.199699,-0.260888,-1.152885,-0.795236,-0.139165,0
54886,3468.89,-1.19444,0.114622,1.541673,-0.462956,0.96498,-0.760876,0.631704,0.724815,-0.943576,0.317346,-0.441432,-0.30893,-1.747242,1.878222,-0.359061,0.323258,-1.104139,1.030147,0.388245,0.593595,1.247649,0.946054,0.204195,-0.076124,0.625721,-0.455946,-0.462347,1.801191,0
137337,834.49,0.512844,-0.8759,-1.579415,-1.392276,0.86251,0.375347,-0.310099,-0.808466,1.382766,1.07651,0.92984,1.641159,1.043123,0.446372,-0.719827,-1.192972,0.336853,-1.609828,-0.870451,0.363887,1.405136,1.207958,0.680197,-0.137568,-0.623845,-2.064943,0.12927,-0.361454,0
168266,4393.27,-1.387946,1.374533,-0.142185,0.272569,-2.07188,-2.067315,1.246207,1.758268,0.257594,0.448186,1.993629,0.082063,0.295617,0.815553,-1.592998,0.527873,-0.082623,0.721876,0.573724,-0.523461,0.920609,-0.287044,0.778506,-0.948868,-0.625299,-1.038876,0.231362,1.056252,0
87498,2477.62,-0.762241,0.955275,1.407259,-0.614904,0.177173,-0.211298,0.652295,-0.538535,-1.048643,-0.701192,0.28229,-0.125933,2.082283,-0.869522,-0.427928,-0.954595,0.942842,-1.054333,1.181142,0.703878,0.803647,-0.697108,0.218577,-0.09147,0.271033,0.412739,1.445691,0.307581,0
112727,3707.56,-0.010116,1.007653,0.398695,0.039346,-0.496093,-0.865284,0.193585,0.602194,0.126318,-0.318978,-0.686353,-0.253007,-0.558512,-0.693679,1.353449,-0.995725,-0.907191,-0.220902,0.468285,0.500101,1.696905,-0.418953,1.382717,-0.999832,0.518801,0.143272,-0.486396,1.087169,0
126324,2866.18,2.218421,-2.00613,-0.489239,1.04905,0.880466,1.110506,-0.207677,0.090167,0.171594,-1.392851,0.535703,0.679303,0.898284,0.017264,1.547319,-0.025268,-0.324357,1.422032,1.283298,-0.3712,-0.845612,2.661824,-0.970761,0.187304,0.200875,0.946841,0.556653,-0.349074,0
16023,4988.47,-0.686916,1.948671,-1.546162,-1.653582,-2.537598,0.346115,-1.51901,-0.19871,-2.24324,-1.316163,0.839895,-0.229285,-0.302643,1.213075,-0.36474,0.258209,1.747333,0.347163,-0.453482,-0.173019,-0.412284,-0.617479,-0.350666,0.161338,0.123939,0.052727,-0.635574,-0.10653,0
41090,3762.26,-0.458217,-0.558515,1.152945,0.264614,0.192968,1.191246,1.413549,0.040057,1.340444,0.84605,0.132754,-0.341553,1.281403,-0.362954,-0.069508,0.614926,-0.341179,0.815016,-1.198709,-0.785885,-1.259359,-0.174736,1.170263,-0.122643,-0.484443,-0.19617,1.675893,-0.367525,0
67221,3535.2,0.732345,0.777955,0.360515,0.759596,-0.214444,-0.039125,-0.680777,-0.940288,-0.989608,1.444112,0.071214,0.662816,2.311288,-1.431452,0.702903,-2.156335,0.224455,-0.184981,-0.161778,0.461888,-1.497445,0.214464,0.956357,1.236977,0.020344,1.857904,0.123519,-1.973851,0
64820,3893.08,-1.238296,2.5238,-1.472986,0.808111,1.11843,-0.113889,0.090732,-0.387566,2.090215,-0.714769,0.213608,0.093257,0.213065,0.39799,-1.025541,0.789247,-0.656295,-1.926013,-0.614042,0.472827,-0.044315,0.546569,0.370829,0.497603,-2.383307,-0.33927,-0.207041,-0.265063,0
769,716.5,0.442806,2.155333,1.189891,-1.363542,1.547987,-0.30493,0.343804,-1.339755,0.795291,0.048119,0.04355,-1.009447,-1.138962,0.063978,0.369061,0.412662,-0.225544,-0.935283,-0.493433,-0.038745,0.268572,0.103368,-0.542917,-0.920135,1.549779,-0.385163,-0.791665,3.202001,0
59735,1023.52,1.205927,-0.977562,-1.600404,0.419336,-0.928846,-0.503069,-0.183512,-0.54927,-1.12683,0.720524,0.297781,0.032016,1.413873,-0.55101,2.366729,-0.726102,0.475268,0.680243,-2.221821,-1.138727,0.50536,1.773942,0.787567,0.568365,0.16112,0.049608,0.906066,-0.732336,0
64925,3570.61,-0.307095,-1.444517,-0.220486,1.203537,-0.88371,2.684656,1.354601,-0.466667,-0.314251,-1.663842,1.827563,1.394532,0.565482,-0.373064,0.765114,-0.236326,0.657094,0.334714,0.175624,-2.022528,-0.697282,0.235969,-0.909162,0.952033,2.103973,-0.777802,0.129752,0.145967,0
5311,2470.41,1.026154,1.430347,-0.264615,0.343234,0.230497,0.80717,-1.221371,0.845221,0.922618,-1.048687,-2.033303,0.765306,0.378033,-0.871074,0.733218,0.198099,0.118129,1.662435,0.021507,-0.231392,-0.413052,-0.149284,1.182016,-2.394645,1.288628,0.257053,0.204503,1.191165,0
103355,3773.42,0.29145,0.142056,1.618381,-0.115694,1.733763,-1.066189,1.733935,-0.331925,-0.237753,1.993635,-0.238456,1.51798,1.583239,0.923907,1.343813,-3.48978,-0.259836,0.126603,0.843072,0.236615,0.846739,0.955879,1.521723,-1.08299,-0.815099,-0.72437,-1.056098,0.521525,0
85305,515.48,-0.730682,-0.500881,-0.261046,1.139613,0.060145,2.639309,0.671558,-0.448082,1.178237,-0.957716,-0.932354,-0.7313,-1.137636,0.023324,0.903784,-1.251025,0.130206,-0.892804,0.553098,0.644677,-1.460507,-0.886631,-0.576118,-0.469075,-0.3641,-0.431317,-0.782255,-0.077568,0
159765,2682.87,-0.197805,0.621219,-0.264643,-0.694319,-1.279161,-0.40498,-0.246421,0.22004,-0.376069,-0.361834,1.180803,1.07023,-0.716182,0.240477,-0.252819,1.161275,-0.736129,-0.025825,-0.175343,1.132807,0.012676,0.539194,2.588329,-0.813906,-1.102219,-0.745296,-1.761673,-0.894238,0
130608,1894.73,-0.379757,-0.16288,-1.363078,-1.529833,-0.605868,0.321152,-0.23523,0.180853,-0.078665,-0.602934,-0.140882,-0.648517,0.594265,-0.596426,-1.179798,-0.60238,-0.215498,0.997828,0.912852,-0.35711,1.305941,-0.370823,-0.997335,0.638127,-0.669576,-1.777789,-0.50935,1.442347,0
156730,2285.54,-0.087638,0.701324,-0.640398,-0.200598,0.202664,0.939597,-2.216822,-0.591041,0.95015,-1.994779,0.559705,-1.232393,-0.738478,1.336227,-0.133494,-0.085922,0.332339,-1.757095,0.886643,-1.582083,-0.265604,1.28564,-0.189028,-0.886372,-1.563841,-2.416279,-0.479412,1.10862,0
84478,3020.19,0.152718,0.066982,-0.817295,0.535045,0.240202,-1.537954,-0.848233,0.394228,0.603391,0.082723,1.427307,-0.803064,-0.316009,0.220797,-0.969681,-0.116648,0.986992,0.345648,-0.48699,-0.513677,-0.421162,1.362623,-0.213643,-0.994464,-0.923616,-1.423783,-1.344534,1.41854,0
122537,2511.94,0.5882,0.722388,-0.765222,1.038937,-0.704088,-0.827327,-0.353904,-0.178647,-0.925227,-0.025252,-1.08101,0.13141,1.274768,-2.141136,-0.281879,0.714653,-0.911517,-1.260494,0.196106,2.183266,1.242834,-0.174088,-0.103814,0.238733,-1.035102,1.141089,-0.072386,1.318537,0
149503,2699.76,0.508668,-0.894533,0.006285,0.530503,-0.625791,1.648165,0.176105,-0.592663,0.434052,0.180851,-0.527518,1.027952,0.432954,0.459982,-0.871247,-0.406642,-0.177201,0.162713,1.510496,1.644233,-1.413734,-0.870389,1.42483,-0.230995,0.88153,0.075141,-0.348236,-1.427521,0
130523,2432.3,-2.431714,1.424462,-2.434176,0.835821,-0.981568,-0.224829,1.259581,-0.495479,0.167448,-0.084576,1.324082,0.310416,-1.178828,-0.264321,-0.389871,-0.32216,-1.005082,0.726444,0.326533,0.42809,-0.804029,-1.862223,0.43773,1.122523,-1.620558,-0.480147,-0.725933,-0.351803,0
2747,2045.37,-0.097308,0.697623,-1.51023,1.045311,1.141171,0.99867,2.037546,0.949351,-0.911733,-0.459861,-1.121063,-0.153282,0.408036,-0.163945,-1.485326,0.190577,-0.444443,0.551874,-0.822172,-0.431608,-0.765606,0.22521,-0.831406,0.370934,2.225874,-1.039594,-0.857376,0.310971,0
123855,3859.64,-1.509422,0.646297,-0.111019,-0.339377,-0.834775,-0.453468,0.272267,-0.465428,-1.390477,-0.517272,-0.49378,-1.032211,1.239073,0.993691,-0.693314,0.846651,1.000504,1.340389,-1.122481,-0.091279,0.694215,-2.132629,0.109036,3.402738,-0.32176,1.261063,0.16578,-0.951184,0
65725,62.0,-0.275727,-1.11767,0.121255,-0.147939,-0.464794,-0.09506,0.205609,0.261125,-1.931384,-0.500176,-1.600355,0.705331,0.171538,0.088572,0.405513,1.163086,-0.536527,0.250731,-1.471319,1.714699,-1.604057,-0.085043,0.663213,-1.090705,1.347121,-0.641681,-0.778172,-0.630163,0
129981,2992.62,-0.12379,1.699632,-0.233433,1.287168,-0.493253,1.785257,-0.490352,-1.2824,-0.294424,-0.98869,1.363363,0.963623,0.871799,1.712342,0.657938,-0.318972,-0.095995,0.513582,-2.04775,0.209991,1.233617,-0.56096,0.520823,-1.528978,-0.964176,-0.845105,1.644398,0.640576,0
84654,2827.98,0.976148,-0.013716,-0.040794,-1.210157,-1.605957,0.437512,-1.7151,1.115305,-0.054007,-0.833805,-0.581247,0.298284,-0.51701,0.105593,0.440944,-0.490895,-1.236794,0.548554,-0.48408,-0.380505,-0.026611,0.558061,1.222182,1.375751,0.778151,-1.891852,-0.183651,0.599348,0
166845,3581.18,-0.030115,0.728049,-0.409117,0.429133,-0.863415,-0.344848,-0.605787,-0.582994,0.504578,-0.971914,0.35116,-1.052319,0.259878,-0.466617,-0.375982,-0.146259,-0.561121,-0.969725,-0.174563,1.32625,1.045796,-0.013641,0.089389,3.066699,-1.468445,-2.23104,0.918414,1.760879,0
119346,2995.55,0.259218,-0.322824,-0.018505,-0.716709,1.228138,-0.683363,-0.205501,0.400289,0.820479,0.57341,0.67598,0.808709,-1.576764,-1.813288,0.124823,1.335043,-1.548368,-0.127479,-0.976327,-1.947675,1.240825,-0.566345,0.799596,-0.223287,-1.474049,0.461383,-1.145538,-0.721236,0
67435,4134.17,0.793056,0.260889,0.434142,1.100262,-1.209288,-0.591875,0.975394,-0.251568,-0.413859,0.306103,-0.803237,1.227245,0.629732,-0.71787,1.943967,0.778292,0.278732,-2.458988,-0.684234,-1.004561,-0.785599,0.84907,-0.142347,-0.318187,1.094493,1.686327,-0.162136,-0.930022,0
