date,evictions,unemployment_rate,school_absenteeism,poverty_rate,er_visits
2010-01-01,5,9.27,17.6,12.86,60
2010-01-01,4,8.11,19.68,13.7,51
2010-01-02,4,7.38,16.33,15.99,50
2010-01-02,5,4.82,17.35,11.81,45
2010-01-03,5,10.88,14.31,15.91,46
2010-01-03,3,10.03,12.93,8.16,52
2010-01-03,5,4.27,15.82,22.92,44
2010-01-04,4,6.31,5.54,10.76,46
2010-01-04,6,7.88,5.92,16.51,43
2010-01-04,7,7.09,15.31,23.79,46
2010-01-04,2,6.58,10.03,21.96,49
2010-01-05,5,9.47,12.33,21.19,60
2010-01-06,5,3.49,16.73,18.29,49
2010-01-07,6,7.24,13.66,15.42,53
2010-01-08,4,5.36,17.08,15.58,41
2010-01-09,6,3.76,11.29,9.48,43
2010-01-09,6,7.18,9.31,9.1,49
2010-01-09,1,4.54,8.52,22.34,47
2010-01-09,7,5.32,6.98,14.95,49
2010-01-10,2,7.56,5.55,8.92,52
2010-01-11,11,11.76,5.8,19.27,55
2010-01-12,4,9.16,9.06,19.62,55
2010-01-12,3,5.52,9.18,11.87,47
2010-01-13,8,6.44,10.73,14.98,52
2010-01-14,3,6.66,13.87,17.75,44
2010-01-15,3,4.38,16.39,18.14,55
2010-01-16,5,4.45,7.97,16.69,68
2010-01-16,8,4.34,16.39,14.19,44
2010-01-18,3,7.69,7.08,9.17,54
2010-01-18,2,9.07,19.83,8.38,48
2010-01-18,5,8.32,9.28,15.81,49
2010-01-19,3,11.8,17.56,11.45,51
2010-01-19,8,4.13,7.86,23.95,47
2010-01-19,10,11.88,19.26,18.89,37
2010-01-19,3,7.2,17.4,17.95,59
2010-01-21,2,4.97,10.39,14.91,55
2010-01-22,5,11.49,11.32,13.6,52
2010-01-23,7,7.22,5.06,11.06,47
2010-01-23,6,6.13,8.77,9.02,49
2010-01-24,6,4.92,9.34,18.79,46
2010-01-25,2,5.41,11.79,21.25,61
2010-01-25,4,11.81,7.09,22.58,49
2010-01-27,9,5.74,12.18,20.31,41
2010-01-28,7,11.8,15.03,23.25,55
2010-01-28,11,5.97,10.57,24.71,42
2010-01-30,8,5.08,8.48,24.35,50
2010-01-31,3,4.65,13.22,18.07,48
2010-02-02,2,6.71,5.44,11.81,55
2010-02-02,3,5.13,10.11,9.81,39
2010-02-03,4,9.27,12.91,24.9,45
2010-02-03,5,5.16,10.04,13.24,48
2010-02-03,5,10.52,10.18,8.58,42
2010-02-04,4,10.51,17.72,14.65,55
2010-02-04,3,5.57,19.01,20.72,51
2010-02-05,8,9.78,17.41,23.14,42
2010-02-06,2,10.72,6.48,16.12,38
2010-02-06,1,8.31,9.35,13.0,42
2010-02-06,4,6.3,15.67,21.23,51
2010-02-06,5,6.97,19.62,16.56,47
2010-02-07,4,10.08,8.63,9.46,49
2010-02-07,3,5.64,18.47,23.09,42
2010-02-08,4,6.01,16.09,19.15,50
2010-02-08,8,4.45,19.75,8.63,49
2010-02-09,2,6.59,6.4,8.15,44
2010-02-10,2,3.78,10.92,9.49,49
2010-02-10,2,5.89,12.17,21.97,46
2010-02-10,7,6.36,15.08,16.18,50
2010-02-10,6,5.3,14.81,13.7,55
2010-02-11,7,3.91,18.6,12.24,47
2010-02-11,6,7.7,17.58,16.62,57
2010-02-11,7,10.79,5.83,9.41,53
2010-02-14,6,6.02,12.3,18.49,52
2010-02-14,4,5.13,11.11,14.47,53
2010-02-14,2,5.57,19.96,22.59,41
2010-02-14,3,10.76,11.41,20.83,65
2010-02-15,4,7.75,15.24,8.31,47
2010-02-15,7,4.18,9.27,10.83,58
2010-02-16,4,9.38,14.22,16.06,34
2010-02-16,3,4.39,8.1,19.2,48
2010-02-18,2,3.54,14.05,20.16,46
2010-02-19,6,5.3,18.02,21.88,47
2010-02-19,3,4.51,5.29,8.84,58
2010-02-19,5,8.44,12.57,8.31,49
2010-02-20,9,7.36,19.74,18.21,48
2010-02-20,6,9.52,7.39,20.31,42
2010-02-20,6,7.6,7.75,21.37,51
2010-02-21,9,6.77,12.06,10.65,51
2010-02-22,4,7.74,18.06,24.47,60
2010-02-22,9,6.91,13.44,11.9,52
2010-02-23,2,3.33,12.63,12.26,53
2010-02-24,10,9.13,6.3,10.62,56
2010-02-24,6,11.66,19.43,8.74,50
2010-02-25,9,6.8,10.21,21.77,52
2010-02-25,4,6.81,8.78,8.1,45
2010-02-26,1,3.41,11.18,15.88,49
2010-02-26,6,11.01,11.21,9.56,48
2010-02-26,8,11.36,11.88,8.76,48
2010-02-27,6,10.32,15.33,23.89,40
2010-02-27,2,3.96,18.02,22.03,44
2010-02-28,3,11.1,5.86,14.71,55
2010-03-01,5,3.22,12.36,15.8,50
2010-03-01,3,7.0,11.21,22.76,51
2010-03-02,3,7.51,5.16,21.55,59
2010-03-03,5,10.51,17.25,19.76,41
